Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
;;;;0;Helton Oliveira6;0;Jovens;2019;Jacutinga;28 de julho de 2019;Brasil;Estudante;Homem;Rio Grande do Sul;Helton Oliveira;19;Estudante;15º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;RS;Sul
;;;;0;Helton Oliveira6;0;Jovens;2019;Jacutinga;26 de maio de 2019;Brasil;Estudante;Homem;Rio Grande do Sul;Helton Oliveira;19;Estudante;8º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;RS;Sul
;;;;0;Helton Oliveira6;0;Jovens;2019;Jacutinga;28 de julho de 2019;Brasil;Estudante;Homem;Minas Gerais;Helton Oliveira;19;Estudante;15º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;MG;Sudeste
;;;;0;Helton Oliveira6;0;Jovens;2019;Jacutinga;26 de maio de 2019;Brasil;Estudante;Homem;Minas Gerais;Helton Oliveira;19;Estudante;8º eliminado;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;MG;Sudeste
;;;;0;Natália Jorge6;0;Adultos;2019;Brasília;5 de maio de 2019;Brasil;Servidora pública;Mulher;Distrito Federal;Natália Jorge;27;Servidora pública;5ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;DF;Centro-Oeste
;;;;0;Rodrigo Serra2;0;Adultos;2015;São Paulo;9 de junho de 2015;Brasil;Advocacia;Homem;São Paulo;Rodrigo Serra;41;Advogado;4º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
;;;;0;Roger Fernandes4;0;Adultos;2017;Porto Alegre;11 de abril de 2017;Brasil;Produtora executiva;Homem;Rio Grande do Sul;Roger Fernandes;26;Produtor de eventos;3º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;RS;Sul
;;;;0;Bruno Viotto4;0;Adultos;2017;Campinas;28 de março de 2017;Brasil;Economista;Homem;São Paulo;Bruno Viotto;33;Economista;1º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
;;;;0;Andressa Sanches5;0;Adultos;2018;São José do Rio Preto;10 de abril de 2018;Brasil;Empresário;Mulher;São Paulo;Andressa Sanches;35;Empresária;4ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SP;Sudeste
crosta de cogumelos;farinha panko;;;2;Michele Crispim4;1;Adultos;2017;Palhoça;22 de agosto de 2017;Brasil;Gerente de varejo;Mulher;Santa Catarina;Michele Crispim;27;Gerente comercial;Vencedor;4;7 de março de 2017;22 de agosto de 2017;25;21;;Entrada;0;Tutano com crosta de cogumelos;Tutano;crosta de cogumelos, farinha panko;Michele Crispim;SC;Sul
